the
and
of
to
a
'
he
in
it
was
that
i
they
you
but
his
said
for
not
as
is
on
had
at
with
were
frodo
have
there
we
be
all
him
them
from
if
their
or
are
now
out
up
no
by
will
this
then
do
my
me
what
into
could
been
long
gandalf
would
so
came
one
down
again
more
like
when
before
sam
go
many
come
some
great
about
ring
still
back
your
away
far
us
than
'i
over
dark
an
old
see
only
here
seemed
has
hobbits
any
did
know
last
time
even
way
went
bilbo
may
light
upon
road
which
yet
shall
must
looked
can
after
our
very
night
where
its
well
heard
shire
through
am
little
off
much
merry
end
other
thought
trees
pippin
say
good
under
who
while
think
aragorn
behind
though
saw
strider
made
eyes
left
found
don't
should
suddenly
side
water
too
land
things
first

ever
elves
hand
seen
white
day
black
river
going
these
never
her
once
stood
two
she
soon
find
beyond
himself
took
fell
fire
mr
felt
'but
began
own
hope
passed
get
cried
boromir
days
let
round
right
folk
deep
feet
cannot
take
hill
others
until
sun
those
grey
turned
might
answered
lay
asked
indeed
make
men
wind
mountains
just
company
fear
got
door
look
nothing
shadow
high
set
world
tell
since
voice
elrond
without
looking
words
above
tom
green
along
gimli
sat
towards
something
heart
already
stone
such
three
east
near
path
tree
need
west
clear
knew
'and
north
moment
bree
called
between
put
spoke
most
among
sound
house
south
power
years
head
few
course
hear
how
keep
cold
small
another
leave
morning
'you
against
enemy
hobbit
also
gone
fair
mind
legolas
face
sky
name
ground
ago
why
coming
wish
evil
grew
told
wide
alone
hills
grass
further
'it
slowly
gate
help
leaves
forward
rivendell
nor
journey
open
strange
air
people
riders
better
enough
pass
silver
friends
sleep
ran
place
pale
drew
often
least
together
stars
moria
rest
thing
speak
gave
master
darkness
want
give
home
elf
ahead
wood
across
brought
beside
wonder
news
feel
'well
less
mean
man
half
forest
tall
shadows
longer
lands
gold
sword
song
lord
became
rather
each
anything
'we
low
followed
mordor
known
large
lost
red
earth
dwarves
gollum
bank
stream
fall
quite
frodo's
almost
lady
silent
same
middle
moon
top
close
'the
full
walked
baggins
caught
hard
hall
both
being
country
rose
wall
bright
used
can't
done
bag
tale
perhaps
rings
standing
boats
part
hands
every
either
quickly
maybe
'what
turn
seem
word
evening
afraid
sea
new
bilbo's
call
talk
woods
dwarf
laid
orcs
broken
valley
reached
doors
held
themselves
sauron
does
strong
bridge
elven
hidden
silence
doubt
led
short
times
strength
seems
follow
book
sign
chance
doom
wise
outside
mist
become
snow
edge
nearly
saruman
singing
kept
running
i'll
ancient
food
laughed
room
butterbur
horse
below
sprang
else
remember
inside
sir
understand
return
filled
save
comes
except
vanished
sure
secret
places
foot
nine
true
'no
hardly
miles
minas
none
sitting
soft
story
young
use
remained
voices
answer
guess
danger
lies
climbed
son
ask
'that
next
yes
friend
heavy
year
best
halted
four
golden
lórien
pony
getting
wizard
ready
it's
matter
memory
walls
walking
sudden
tongue
always
eye
happened
shining
later
wait
fallen
deal
sight
bed
till
'yes
forgotten
watch
line
hair
haldir
spring
unless
boat
borders
shone
won't
mountain
beneath
stones
turning
cut
present
several
neither
myself
live
aside
living
really
'he
stay
stopped
late
ought
returned
plain
window
that's
war
galadriel
gondor
free
walk
moved
ponies
blue
wild
falling
party
rain
meet
hour
table
appeared
glad
faded
tales
gates
early
arms
business
tonight
branches
nearer
shore
rode
growing
straight
history
arm
wound
farewell
bit
making
feeling
hobbiton
king
horses
floor
seldom
kind
tirith
quiet
queer
mighty
point
steep
rising
learned
i'm
poor
glorfindel
trouble
'if
kings
corner
distance
guests
trying
shoulder
western
passage
shut
given
fast
clouds
peril
yellow
knows
thinking
work
especially
eastern
dead
'there
hedge
beginning
bear
hot
thick
opened
lane
hold
fact
passing
lie
peace
doing
read
talking
broke
weather
narrow
desire
elvish
because
ill
saying
whole
listening
weary
distant
safe
empty
birds
glóin
dim
suppose
smoke
life
council
escape
fields
slipped
flat
isildur
bombadil
wished
'then
whether
big
westward
hearts
dangerous
cry
bill
cast
case
slow
willow
drink
lying
hole
guessed
northern
swiftly
travellers
birthday
care
rolled
lived
length
barrow
goldberry
second
buckland
thin
brown
however
names
hundred
waters
sent
believe
he's
speaking
faces
slopes
five
i've
ford
noise
celeborn
dream
lead
windows
warm
paths
faint
breath
watched
dwelt
heads
bent
lothlórien
lifted
moving
chair
advice
grow
bagginses
ere
supper
softly
wolves
slope
inn
trust
maggot
important
leading
stand
dale
swift
asleep
roots
itself
opening
eastward
change
southwards
rock
deadly
age
cool
downs
leaving
hung
brandywine
flowers
sing
written
you'll
there's
roof
tried
front
bowed
goes
chapter
past
gildor
taken
worse
legs
possible
wondered
rider
stepped
chamber
bring
star
start
o
fled
dear
bore
mirkwood
quick
love
tower
weathertop
whatever
companions
closed
run
rohan
troubled
winter
shape
staff
garden
misty
broad
move
try
built
tired
everything
waiting
purpose
met
lore
account
quietly
chief
feared
clad
shouted
cloud
probably
didn't
able
whom
pocket
greater
aware
expected
truth
ears
seek
farmer
steadily
parts
flowed
send
flame
questions
ride
wandering
tomorrow
fingers
sides
shapes
choice
seeing
sort
sweet
burning
dawn
climb
added
dwell
hollow
lit
southern
climbing
seven
gamgee
terror
speech
step
hours
falls
reach
today
surprise
anyway
says
rate
started
muttered
following
'all
meal
elendil
sharp
figure
crossed
guard
seat
forget
ways
loud
gaffer
show
level
changed
willing
cloak
silverlode
bare
thrust
anduin
dusk
certain
tidings
gathered
sit
circle
blade
bottom
real
decided
mine
actually
drawn
orc
lights
rule
family
yourself
dell
watching
fellow
different
finger
fog
leaped
certainly
whose
choose
meant
prove
pool
sometimes
ended
wandered
sunlight
music
mirror
city
brandybuck
somehow
'now
difficult
troll
wondering
destroyed
easy
wisdom
single
plan
remembered
taking
expect
terrible
songs
ferry
spoken
remain
arch
reason
beautiful
thoughts
sackville
steps
stirred
cliff
paused
amid
speed
keen
chill
stair
mile
counsel
view
laughter
direction
haven't
laughing
winding
entered
learn
breakfast
caradhras
'a
peregrin
gandalf's
ridge
listened
forth
likely
welcome
smiled
bound
gift
lower
listen
within
showed
towers
balin
woke
nob
meeting
touched
crept
burden
noon
stop
begin
lords
'come
message
lake
dol
mark
'don't
third
'why
lad
cross
wore
needed
'ah
riding
'do
deeply
holes
banks
fatty
bad
pursuit
pleasant
'not
isn't
sooner
brief
belt
'good
afternoon
midst
wanted
boughs
glimpse
underhill
halls
lot
smooth
quest
dared
stared
gloom
altogether
busy
landlord
death
disappeared
'this
seas
shoulders
flying
sighed
elder
died
burst
servants
slender
huge
afterwards
whispered
number
creature
careful
treasure
slept
sorry
northward
minds
enemies
eating
magic
catch
hoofs
autumn
'it's
grown
horn
skill
proved
trail
command
knowledge
deeds
wrought
luck
flowing
rocks
stronger
crown
wings
threw
noticed
unfriendly
nimrodel
swords
awake
flight
gap
village
shores
eastwards
gleam
gently
friendly
usually
packs
dread
hat
'here
island
language
'very
beasts
laden
aloud
dogs
fond
task
blew
realm
knees
pools
galad
grief
heir
break
alas
events
hood
having
order
feast
ship
anyone
perilous
mostly
cries
smile
gathering
stooped
sense
anxious
hoped
content
blow
delight
covered
meaning
leaf
leagues
mail
lawn
'so
fine
carried
chain
blankets
roads
parting
friendship
warning
worst
letter
sang
stretched
pillars
struck
therefore
sought
pity
space
touch
guide
beast
battle
aid
strangers
precious
hurried
chosen
mouth
radagast
rangers
pardon
march
wrong
begun
various
bushes
drawing
sad
track
height
according
lives
bow
dry
gil
twilight
harm
cloaks
shadowy
pain
amon
adventure
looks
s
dimrill
please
thus
believed
worry
hilt
havens
eaten
closely
prepared
raised
wizard's
whisper
gentle
hearing
stuff
lamps
kingdom
knowing
clean
stayed
laugh
eat
twenty
perils
larger
anxiously
hey
sank
errand
discovered
backs
'how
creatures
count
bearer
imagined
'they
bucklebury
finished
leaping
families
gazed
sting
folly
tom's
enter
'my
reeds
sheer
peering
spare
runs
stairs
dragon
adventures
ferny
mists
galadhrim
mines
jumped
hither
crack
staring
daylight
courage
letters
funny
figures
peered
brandy
wilderland
tops
works
burned
crossing
matters
halt
father
couldn't
crying
spell
stony
mere
glance
question
plainly
knife
pointing
leaned
glass
stories
hurry
'who
joy
stick
foes
comfortable
haste
driven
baggage
wake
dull
beer
pipe
messages
escaped
fool
six
helped
presents
weapons
bywater
rich
fashion
kindred
perished
gleamed
fail
hurrying
shallow
arrows
fresh
putting
swept
let's
lines
writing
wet
remains
tread
vast
mistake
'in
'where
destroy
legends
summer
decide
spite
clothes
southward
starlight
signs
ten
shan't
seeking
dreadful
elrond's
cliffs
finding
fading
echo
you're
weariness
points
final
carry
mortal
elbereth
bolger
bye
sam's
angry
fancy
picked
gazing
storm
deeper
plunged
turf
flows
loss
marched
higher
glittered
sounds
shaking
taller
blood
trolls
clearer
eyed
waste
loomed
possessed
silently
journeyed
someone
allowed
older
boots
vain
noises
wholly
clearly
reward
strike
amazement
jewels
calling
pace
stiff
fly
openly
miss
means
removed
marks
spot
fortune
powers
money
shook
rise
huddled
lonely
asking
wasn't
root
forced
ends
drove
comfort
nigh
glade
odd
day's
holding
hurt
barliman
lobelia
telling
attack
isengard
twice
'for
'is
afar
spread
desperate
discover
setting
brow
leader
brandybucks
crickhollow
withywindle
ceased
flet
breast
pack
glimmering
concerned
drum
fade
daughter
bird
chiefly
shelter
ominous
mention
alive
crowned
flames
heed
simple
startled
piled
stout
delay
lilies
ranger
during
pretty
camp
children
doings
pierced
nightfall
cunning
seated
we'll
bruinen
peaks
secrets
ted
refreshed
marshes
shot
disturbed
tinúviel
useful
beren
wilderness
flash
hungry
serve
balrog
númenor
lúthien
shout
spies
upper
waking
vision
interested
dimly
fountain
fate
chose
fat
candles
inhabitants
swung
scent
effort
yours
mithril
anywhere
repeated
dare
flashed
buried
axe
desired
concerning
information
invisible
field
reckoning
tended
howling
wander
fathers
horrible
main
finish
rauros
dismay
borne
special
shade
hanging
foam
cover
isildur's
apart
arrow
appear
hen
die
throw
nice
shaft
yonder
durin's
bitter
sharply
shrill
younger
eagerly
thirty
runes
amroth
greenway
tongues
paddle
revealed
trunk
draw
otherwise
passes
waited
companion
drowned
stock
redhorn
cruel
wear
hollin
talked
rope
tail
brows
faintly
durin
wolf
grows
houses
claim
kindly
risk
books
hunting
'or
custom
downwards
lightly
what's
hearth
interest
trembling
iron
worn
washed
stands
behold
searching
ate
idea
brink
creeping
loudly
named
wouldn't
write
passages
week
smiling
blades
attempt
nights
wrapped
thickets
liked
fears
absurd
curious
fault
'did
wrath
grim
mushrooms
bringing
cleared
exclaimed
explain
around
trunks
seized
notice
'oh
legend
joke
sailing
endless
teeth
thoughtfully
rang
stained
strode
warn
surely
alarm
'there's
ordered
tune
withered
craft
attention
weight
dûm
cracked
reckon
shaped
bend
bread
rumours
eager
ages
game
sméagol
closer
delighted
darker
beds
bone
dreams
sniffing
loved
rapids
log
tears
wherever
lose
cloth
stuck
gasped
replied
roaring
keeping
saved
thrown
flood
immediately
idle
bid
defeat
limbs
morgul
marish
beat
rocky
merry's
ringwraiths
needs
pressed
string
throat
dáin
ending
kitchen
masters
wealth
bones
greatly
westernesse
harsh
wildly
draught
unknown
heights
messenger
hide
proper
mischief
whispering
captain
ourselves
travel
greatest
delayed
reported
tooks
astonishment
cracks
neck
meanwhile
yard
muttering
received
lately
springing
outer
relief
thank
fredegar
branch
breaking
slain
they're
joined
bob
clutching
force
bane
muil
cousin
curtains
offer
rolling
rough
michel
mallorn
delving
mounted
horror
carefully
waggon
garments
'let
flung
hastily
understood
evidently
continued
emyn
beard
usual
drive
tap
gleaming
ho
twinkling
mound
leaning
relieved
played
fairly
easily
race
whistling
dance
i'd
you've
fireworks
peculiar
unable
arathorn
agreed
spent
beg
'of
mid
spear
glimmer
happen
despair
remote
o'
unseen
impossible
common
favourite
imagine
minute
abroad
stranger
fully
vanish
thief
stage
notes
veiled
nonetheless
lunch
eastfarthing
vale
offered
wider
queen
marked
merely
stray
whither
crowded
hammer
orthanc
rested
messengers
dwellings
watchful
lighter
endure
throwing
brandir
tol
rubbed
tells
turns
shaken
ladder
somewhere
colour
study
rippling
sunset
'as
affair
rim
meriadoc
breathed
moonlight
price
fifty
original
cloven
event
steeply
comer
glint
northwards
danced
'sam
plenty
hiss
journeys
goods
happy
smell
vague
reckoned
join
stumbled
fit
gebir
glowing
glittering
region
sarn
fir
reluctant
twisted
fought
barren
drift
drinking
driving
preserved
bite
cow
'he's
failed
chapters
coat
wrote
proud
uneasy
'only
steel
giving
concern
brightly
promised
returning
pursued
shuddered
chairs
terrified
pointed
rightly
eventually
sped
horsemen
divided
ale
sorrow
he'll
records
leather
gladden
advise
mouths
wave
drogo
row
edges
dinner
rumour
stroke
approaching
pushed
rush
threshold
upwards
'at
couple
hints
ordinary
longed
knock
deny
cup
packed
search
departed
stooping
reappeared
arwen
nay
naught
unexpected
worth
tunnel
anxiety
jacket
anger
size
bearing
missed
grave
pleased
nearest
foul
sounded
easier
blocked
pavilion
glinted
galdor
carrying
hated
khazad
beats
forty
tunnels
blowing
accident
build
surface
settled
lamp
landing
riddle
glowed
becoming
ruined
picking
glinting
necessary
accepted
bleak
mingled
building
quicker
doorway
paddles
miller
art
match
surprised
heather
rear
hue
dúnedain
finally
numerous
permitted
lumpkin
boromir's
clothed
helm
wary
you'd
stir
movements
steady
settle
pit
roused
gems
dúnadan
bubbling
due
threat
mount
valiant
madness
fangorn
accounts
carved
uses
somewhat
fierce
mirrormere
skin
belongs
dwindled
r
report
brings
rushing
broader
recalled
descended
naked
obliged
waning
dancing
sandyman
studied
sinking
wights
complete
burdens
enchanted
advanced
gravely
sheltered
healing
thousand
minutes
louder
host
ridiculous
lantern
yourselves
tables
blind
intently
'these
reveal
beaten
bless
wield
depths
useless
grimly
melt
blindly
refuse
'to
test
thorin
malice
visible
hesitated
sadly
nobody
ruins
happily
bell
